video_id,title,views,tags,caption_available,subscriber_count,pub_month,pub_day,pub_hour_sin,pub_hour_cos,pub_weekday_sin,pub_weekday_cos,cat_19,duration_sec,popular,definition
CjC5OfzjPkk,한국인 은 모르는 외국인 이 가고 싶은 의외 의 한국 여행지 부산,817860,빠니보틀|빠니보틀 세계여행|빠니보틀 여행|빠니보틀 국내여행|빠니보틀 부산|빠니보틀 충주맨,0,2520000,2,11,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,1,2678,0,1
mLCRMRbzDmk,눈 떠보니 학교 로 돌아와 버린 34 살 늦 깎이 학생 일본 1,1090598,NoTag,1,2130000,2,10,-0.9659258262890684,0.2588190451025203,0.0,1.0,1,3019,1,1
oqWDJoE43Fg,한국 관광 은 대체 뭐 가 문 제일 까 경주,1487754,빠니보틀|빠니보틀 세계여행|빠니보틀 여행|빠니보틀 충주맨|충주맨 빠니보틀|빠니보틀 국내여행|경주여행,0,2520000,2,7,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,1,2576,1,1
ZaHJj4P-y2c,유럽 해외 취업 도전 기 11,510751,캡틴따거|여행|아일랜드|워킹홀리데이|술집|해외|취업|해외취업,0,680000,2,8,-0.7071067811865471,-0.7071067811865479,-0.9749279121818236,-0.2225209339563146,1,1707,0,1
w-j7ps_7DmQ,캠핑카 에 사는 부부 고속도로 에서 명절 보내기 캠핑카 생활 74,612083,르노마스터|캠핑카살이|캠핑카생활|차박|국내여행|전국일주|르노마스타|캠핑카|스텔스차박|스탤스차박|스텔스캠핑|스탤스캠핑|모터홈|주차장차박|집시|한국집시,0,177000,2,6,-0.9659258262890684,0.2588190451025203,0.4338837391175582,-0.900968867902419,1,1020,0,1
CjC5OfzjPkk,한국인 은 모르는 외국인 이 가고 싶은 의외 의 한국 여행지 부산,876886,빠니보틀|빠니보틀 세계여행|빠니보틀 여행|빠니보틀 국내여행|빠니보틀 부산|빠니보틀 충주맨,0,2520000,2,11,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,1,2678,1,1
mLCRMRbzDmk,눈 떠보니 학교 로 돌아와 버린 34 살 늦 깎이 학생 일본 1,1138750,NoTag,1,2130000,2,10,-0.9659258262890684,0.2588190451025203,0.0,1.0,1,3019,1,1
oqWDJoE43Fg,한국 관광 은 대체 뭐 가 문 제일 까 경주,1511690,빠니보틀|빠니보틀 세계여행|빠니보틀 여행|빠니보틀 충주맨|충주맨 빠니보틀|빠니보틀 국내여행|경주여행,0,2520000,2,7,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,1,2576,1,1
CjC5OfzjPkk,한국인 은 모르는 외국인 이 가고 싶은 의외 의 한국 여행지 부산,887019,빠니보틀|빠니보틀 세계여행|빠니보틀 여행|빠니보틀 국내여행|빠니보틀 부산|빠니보틀 충주맨,0,2520000,2,11,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,1,2678,1,1
mLCRMRbzDmk,눈 떠보니 학교 로 돌아와 버린 34 살 늦 깎이 학생 일본 1,1146861,NoTag,1,2130000,2,10,-0.9659258262890684,0.2588190451025203,0.0,1.0,1,3019,1,1
